ID; NumComplains; hour_id; LCID; RACH_Setup_Completion_Success_Rate_AVG; Total_RRC_Connection_Setup_Success_Ratio_AVG; Total_RRC_Connection_Re_establishment_Success_Ratio_AVG; Radio_Bearer_Success_Ratio_AVG; ERAB_SetupSR_AVG; HO_Success_Ratio_intra_eNB_AVG; Average_CQI_AVG; Radio_Bearer_Drop_Ratio_AVG; Average_Physical_Resource_Block_Usage_UL_AVG; Average_Physical_Resource_Block_Usage_DL_AVG; Complete_RACH_Setup_Success_Rate_AVG; AGG1_blocked_distribution_rate_AVG; AGG2_blocked_distribution_rate_AVG; AGG4_blocked_distribution_rate_AVG; AGG8_blocked_distribution_rate_AVG; ECM_failure_ratio_due_to_Rejection_by_RRM_RAC_AVG; AGG_level_block_Rate_AVG; ERAB_Drop_Ratio_with_UE_Lost_cause_initiated_by_eNB_AVG
23;1;11/20/2015 11:25;112D3113;0.9930379;0.9990258;0.3697844;0.9992607;0.9997929;0.9925086;9.966774;0.001918154;1.530065;10.70402;0.84532605;0.206906213;0.192376084;0.231918258;0.308295406;0;0.000134011;0.000102975
24;1;11/20/2015 11:31;114Q4231;0.9927639;0.9969628;0.4608459;0.9989454;0.9994568;0.9929057;9.935287;0.002241052;1.7832;11.15558;0.854758618;0.192615602;0.205903623;0.206875518;0.297499935;0;0.000156321;7.05E-05
25;1;11/20/2015 11:47;114L7231;0.9750733;0.9959615;0.4228345;0.9991189;0.9993682;0.9943808;10.27519;0.003692085;2.066947;5.607985;0.847396674;0.122355961;0.095288819;0.090776335;0.171060547;0;0.000153492;6.79E-05
26;1;11/20/2015 11:50;110L9111;0.9883053;0.9980218;0.3543913;0.9981121;0.9993103;0.9900514;9.839925;0.002404595;3.867414;20.47488;0.830819394;0.195383103;0.181772269;0.204953806;0.41549;0;0.000936597;0.000117425
27;1;11/20/2015 12:00;74514112;0.9948289;0.9977234;0.5299949;0.9992456;0.9993024;0.9907432;8.759089;0.001613479;1.254788;9.043067;0.921109292;0.156017605;0.185174574;0.218875402;0.394314292;0;9.53E-05;3.14E-05
28;1;11/20/2015 12:10;300U2233;0.994409;0.9985358;0.3330652;0.9990665;0.9997405;0.9929913;9.313021;0.001637609;1.918479;12.00627;0.843366671;0.1791331;0.218235859;0.252240359;0.332183343;0;0.000128151;0.000138749
29;1;11/20/2015 12:12;60823112;0.9954777;0.9988453;0.5951244;0.999108;0.9997039;0.9939702;8.946983;0.00230206;1.638345;11.34197;0.877319482;0.157550724;0.178220663;0.202929407;0.344118996;0;0.000101961;0.000100373
30;1;11/20/2015 12:17;35099112;0.9973239;0.9981498;0.7142715;0.9991452;0.999525;0.9957805;9.673045;0.003618676;0.8886925;5.421133;0.921355607;0.170524949;0.163324267;0.160092796;0.267962666;0;2.90E-05;1.90E-05
31;1;11/20/2015 12:17;6002C113;0.9991972;0.9980258;0.6139573;0.9919991;0.9864687;0.9953559;8.808774;0.01578085;2.748049;20.45635;0.937221093;0.139106431;0.223892577;0.261505703;0.285299378;0;0.000290706;5.52E-05
32;1;11/20/2015 12:22;80616112;0.9884481;0.9989116;0.4838251;0.9983258;0.9997302;0.9921917;9.49876;0.004177824;1.593786;10.09727;0.852477321;0.187210347;0.187123592;0.195490378;0.307276649;0;8.71E-05;9.49E-05
33;1;11/20/2015 12:45;40358233;0.9964026;0.9981894;0.2689651;0.9994506;0.9998469;0.9925585;9.010654;0.001094282;1.947499;15.95845;0.856015294;0.195541387;0.249007612;0.30736673;0.245983424;0;0.000589489;6.98E-05
34;1;11/20/2015 12:51;807TD113;0.9852606;0.999082;0.3325895;0.9992847;0.9994889;0.9896712;9.242427;0.001202716;2.067717;15.47107;0.849330901;0.21346768;0.213750458;0.238573618;0.334208263;0;0.000227661;0.000106354
